IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.100.168,2053,2053,true,SIN,Asia Pacific,Singapore,66,1.84
47.76.33.40,2053,2053,true,HKG,Asia Pacific,Hong Kong,26,1.49
47.236.93.176,2053,2053,true,SIN,Asia Pacific,Singapore,107,1.11
20.240.254.247,2053,443,true,CPH,Europe,Copenhagen,258,1.05
51.103.217.239,2053,443,true,MXP,Europe,Milan,245,0.77
51.140.85.89,2053,443,true,LHR,Europe,London,245,0.73
8.219.113.232,2053,2053,true,SIN,Asia Pacific,Singapore,68,0.71
15.222.245.142,2053,443,true,YYZ,North America,Toronto,248,0.66
18.194.183.74,2053,443,true,FRA,Europe,Frankfurt,216,0.59
54.186.162.233,2053,443,true,SEA,North America,Seattle,229,0.57
4.233.218.152,2053,443,true,CDG,Europe,Paris,238,0.55
8.219.202.130,2053,2053,true,SIN,Asia Pacific,Singapore,105,0.54
47.237.84.173,2053,2053,true,SIN,Asia Pacific,Singapore,278,0.52
47.236.146.249,2053,2053,true,SIN,Asia Pacific,Singapore,112,0.52
20.218.224.219,2053,443,true,FRA,Europe,Frankfurt,244,0.46
47.236.180.24,2053,2053,true,SIN,Asia Pacific,Singapore,117,0.46
51.116.127.112,2053,443,true,FRA,Europe,Frankfurt,236,0.42
172.200.187.205,2053,443,true,IAD,North America,Ashburn,250,0.41
158.101.169.13,2053,443,true,FRA,Europe,Frankfurt,243,0.41
18.196.35.45,2053,443,true,FRA,Europe,Frankfurt,195,0.40
144.24.169.81,2053,443,true,FRA,Europe,Frankfurt,253,0.40
47.237.8.82,2053,2053,true,SIN,Asia Pacific,Singapore,275,0.37
47.236.170.225,2053,2053,true,SIN,Asia Pacific,Singapore,105,0.36
172.206.24.156,2053,443,true,IAD,North America,Ashburn,276,0.22
8.222.193.65,2053,2053,true,SIN,Asia Pacific,Singapore,61,0.21
158.178.129.114,2053,443,true,TLV,Middle East,Tel Aviv,324,0.14
18.185.105.235,2053,443,true,FRA,Europe,Frankfurt,217,0.12
18.138.232.152,2053,443,true,SIN,Asia Pacific,Singapore,64,0.08
144.24.173.250,2053,443,true,FRA,Europe,Frankfurt,253,0.07
8.218.207.169,2053,2053,true,HKG,Asia Pacific,Hong Kong,30,0.07
13.51.167.69,2053,443,true,CPH,Europe,Copenhagen,238,0.06
47.242.171.94,2053,2053,true,HKG,Asia Pacific,Hong Kong,28,0.05
23.94.211.237,2053,443,true,SEA,North America,Seattle,249,0.04
47.245.86.230,2053,2053,true,SIN,Asia Pacific,Singapore,427,0.02
132.145.127.203,2053,443,true,NRT,Asia Pacific,Tokyo,97,0.02
52.38.230.144,2053,443,true,SEA,North America,Seattle,215,0.00
